image,label,x,y,source
CaoMei1_0000.jpg,1,1154,1568,distance_transform
CaoMei1_0000.jpg,1,1160,1654,distance_transform
CaoMei1_0000.jpg,1,1108,1495,distance_transform
CaoMei1_0000.jpg,1,1163,1740,distance_transform
CaoMei1_0000.jpg,1,1164,1826,distance_transform
CaoMei1_0000.jpg,0,1509,516,outer_ring
CaoMei1_0000.jpg,0,955,703,outer_ring
CaoMei1_0000.jpg,0,1217,858,outer_ring
CaoMei1_0000.jpg,0,1048,1075,outer_ring
CaoMei1_0000.jpg,0,1591,1239,outer_ring
CaoMei1_0000.jpg,0,1548,1552,outer_ring
CaoMei1_0000.jpg,0,854,1954,outer_ring
CaoMei1_0000.jpg,0,1151,2161,outer_ring
CaoMei1_0025.jpg,1,1279,1824,distance_transform
CaoMei1_0025.jpg,1,1290,1910,distance_transform
CaoMei1_0025.jpg,1,1226,1755,distance_transform
CaoMei1_0025.jpg,1,1301,1996,distance_transform
CaoMei1_0025.jpg,1,1311,2082,distance_transform
CaoMei1_0025.jpg,0,1771,771,outer_ring
CaoMei1_0025.jpg,0,1583,976,outer_ring
CaoMei1_0025.jpg,0,1267,1185,outer_ring
CaoMei1_0025.jpg,0,1538,1322,outer_ring
CaoMei1_0025.jpg,0,808,1471,outer_ring
CaoMei1_0025.jpg,0,1673,1808,outer_ring
CaoMei1_0025.jpg,0,989,2242,outer_ring
CaoMei1_0025.jpg,0,1316,2479,outer_ring
CaoMei1_0050.jpg,1,1296,1946,distance_transform
CaoMei1_0050.jpg,1,1291,2032,distance_transform
CaoMei1_0050.jpg,1,1287,2118,distance_transform
CaoMei1_0050.jpg,1,1347,1876,distance_transform
CaoMei1_0050.jpg,1,1283,2204,distance_transform
CaoMei1_0050.jpg,0,803,1203,outer_ring
CaoMei1_0050.jpg,0,873,1356,outer_ring
CaoMei1_0050.jpg,0,1508,1479,outer_ring
CaoMei1_0050.jpg,0,1150,1628,outer_ring
CaoMei1_0050.jpg,0,1727,1812,outer_ring
CaoMei1_0050.jpg,0,975,2077,outer_ring
CaoMei1_0050.jpg,0,1025,2375,outer_ring
CaoMei1_0050.jpg,0,1287,2504,outer_ring
CaoMei1_0075.jpg,1,759,1541,distance_transform
CaoMei1_0075.jpg,1,766,1627,distance_transform
CaoMei1_0075.jpg,1,728,1460,distance_transform
CaoMei1_0075.jpg,1,772,1713,distance_transform
CaoMei1_0075.jpg,1,780,1799,distance_transform
CaoMei1_0075.jpg,0,512,873,outer_ring
CaoMei1_0075.jpg,0,163,1025,outer_ring
CaoMei1_0075.jpg,0,129,1093,outer_ring
CaoMei1_0075.jpg,0,1118,1183,outer_ring
