sample,frame,has_potted,has_manual_plant,plant_auto,has_pot,has_cube,cube_status,pot_status,potted_area,clean_area,cube_area,potted_cube_overlap,formal_p6_valid,formal_p2_valid,reason,img_shape,qa_shape_mismatch,qa_empty,qa_too_big,fg_ratio,binary_ok,mask_sha256_16
BaiZhang,0033,True,False,1,False,False,absent,missing,2890593,2890593,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.348499,1,fa5dcb1dfb971d8f
BaiZhang,0034,True,False,1,False,False,absent,missing,2772217,2772217,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.334228,1,b6ccc4f1c2bd22ec
BaiZhang,0035,True,False,1,False,False,absent,missing,2538285,2538285,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.306024,1,3a06beedb2557ac3
BaiZhang,0036,True,False,1,False,False,absent,missing,2394015,2394015,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.288630,1,6e956ef43f27979d
BaiZhang,0037,True,False,1,False,False,absent,missing,2313272,2313272,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.278896,1,97e144a8be8e5737
DouBanLv2,0037,True,False,1,False,False,absent,missing,1807585,1807585,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.217928,1,627db49844c7d55f
DouBanLv2,0038,True,False,1,False,False,absent,missing,1624290,1624290,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.195830,1,1713faf00454808e
DouBanLv2,0039,True,False,1,False,False,absent,missing,1510266,1510266,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.182083,1,781d84d1909c35f0
DouBanLv2,0040,True,False,1,False,False,absent,missing,1420596,1420596,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.171272,1,8eea6fc52405b593
DouBanLv2,0041,True,False,1,False,False,absent,missing,1349934,1349934,0,0,True,False,plant_auto_derived;pot_missing;cube_absent,3840x2160,0,0,0,0.162752,1,0b9eda0f8f3fc040
